id,age,ed,employ,address,income,debtinc,creddebt,othdebt
1193,29,1,7,2,21.1,15.59,1.44079662,1.84869338
583,45,1,23,8,100.9,3.77,2.72361388,1.08031612
4972,47,1,7,13,62.8,21.9,6.9316128,6.8215872
4014,36,1,6,5,34.4,8.03,1.46955424,1.29276576
600,41,2,13,10,71.9,2.01,0.58241157,0.86277843
3453,28,1,11,7,49.1,13.44,3.71525952,2.88378048
4271,41,1,5,5,41.8,20.56,1.68443968,6.90964032
2319,44,1,24,18,113.1,6.62,0.60646482,6.88075518
4970,36,1,19,15,60.0,12.01,0.54045,6.66555
4673,35,1,9,14,42.6,6.63,0.72304128,2.10133872
3613,35,1,15,11,84.9,9.98,3.0502872,5.4227328
722,47,1,21,22,53.6,3.61,0.29798384,1.63697616
3446,26,4,1,0,59.2,20.26,0.5397264,11.4541936
2355,36,1,0,8,24.4,21.51,2.5717356,2.6767044
931,39,1,1,7,28.1,5.03,0.91731607,0.49611393
535,30,2,0,6,24.0,11.63,1.5044568,1.2867432
4540,29,2,0,0,21.5,14.84,1.2570964,1.9335036
4093,25,1,3,5,29.7,12.09,0.2872584,3.3034716
224,39,1,9,9,43.6,10.2,2.4192768,2.0279232
4051,35,3,13,6,48.3,6.82,1.3670349,1.9270251
1569,31,1,14,11,50.3,6.45,0.84677535,2.39757465
2427,31,1,12,2,38.7,7.75,1.0377405,1.9615095
4900,31,5,4,6,35.7,8.46,1.0721781,1.9480419
11,26,1,1,2,22.2,7.27,0.5810184,1.0329216
62,32,1,16,4,38.4,14.38,1.50196224,4.01995776
2004,42,1,5,9,22.9,2.67,0.27392064,0.33750936
1437,31,1,1,12,33.3,16.97,2.00045754,3.65055246
4809,31,1,14,3,25.5,14.87,0.682533,3.109317
2405,29,1,12,1,93.4,3.15,1.6564023,1.2856977
1546,47,1,23,9,100.2,6.99,0.98756118,6.01641882
1104,45,1,4,11,36.5,6.87,0.7322046,1.7753454
2764,47,2,12,26,24.3,8.42,0.41330412,1.63275588
1153,48,3,1,16,32.0,5.8,1.00224,0.85376
1567,31,1,6,3,26.6,2.45,0.2372188,0.4144812
2423,27,1,10,0,41.7,0.72,0.06335064,0.23688936
2077,21,1,1,0,22.9,11.27,0.45164525,2.12918475
3397,36,1,18,10,71.6,11.71,3.79811508,4.58624492
3805,43,1,25,7,111.9,25.67,7.06628358,21.65844642
2185,33,1,16,1,37.3,6.29,0.38477188,1.96139812
726,43,2,16,12,63.2,3.01,0.8275092,1.0748108
259,32,1,7,2,27.4,16.19,2.73704902,1.69901098
1801,26,1,0,7,16.2,11.8,0.4798116,1.4317884
844,23,1,4,3,18.8,9.29,0.98503728,0.76148272
1123,42,1,19,11,54.0,24.34,1.6298064,11.5137936
2648,37,1,5,16,26.9,22.56,1.81452336,4.25411664
2049,24,2,1,5,30.6,6.63,1.13814558,0.89063442
1221,38,2,19,9,34.3,18.71,3.72858493,2.68894507
1922,31,1,0,2,19.8,10.47,0.6841098,1.3889502
1857,32,1,5,11,24.2,13.31,0.94375886,2.27726114
4604,23,2,0,1,17.8,8.73,0.47239776,1.08154224
1909,30,1,9,2,20.6,6.06,0.59796444,0.65039556
3375,27,2,5,1,43.9,11.57,1.43234286,3.64688714
202,31,4,0,10,27.8,13.52,0.28565056,3.47290944
3755,38,1,0,18,36.6,19.78,3.23604756,4.00343244
1213,40,3,5,5,63.6,20.12,5.96308512,6.83323488
3342,32,1,13,1,30.8,19.05,3.579114,2.288286
3382,43,1,19,2,90.6,10.03,2.56258476,6.52459524
437,30,1,7,5,22.5,15.09,0.4821255,2.9131245
3733,51,1,30,11,55.6,6.31,0.67360512,2.83475488
3426,39,1,5,0,33.5,7.29,1.55076525,0.89138475
2961,27,3,6,5,28.6,4.21,0.74290502,0.46115498
1564,42,1,7,19,30.5,7.51,1.2598025,1.0307475
3248,38,1,20,13,67.4,3.72,0.59923992,1.90804008
1786,52,1,11,2,59.4,0.22,0.00705672,0.12362328
2604,44,1,9,15,34.7,12.15,1.97732745,2.23872255
454,32,1,10,0,22.4,6.85,0.514024,1.020376
2500,27,3,3,3,21.9,13.98,0.87562332,2.18599668
1692,43,1,13,10,34.8,3.28,0.0970224,1.0444176
4803,25,1,9,1,27.5,18.06,1.211826,3.754674
4184,35,1,2,10,21.9,6.43,0.6195948,0.7885752
1107,32,4,2,2,42.7,12.44,3.14994484,2.16193516
900,31,1,11,10,25.3,8.63,0.6331831,1.5502069
4655,41,1,7,15,34.4,13.62,0.1639848,4.5212952
27,28,1,0,0,20.4,0.99,0.07512912,0.12683088
4891,56,2,36,27,270.3,19.0,25.986642,25.370358
3970,33,1,10,1,17.5,4.86,0.105462,0.745038
4791,30,1,8,8,27.3,4.81,0.70252455,0.61060545
541,36,1,2,10,47.0,36.56,7.216944,9.966256
1203,34,1,10,15,31.2,16.61,1.66352472,3.51879528
4188,41,2,19,11,72.6,15.91,5.29020228,6.26045772
3578,24,1,5,1,20.0,5.74,0.277816,0.870184
2602,40,1,16,9,43.4,10.87,0.93879842,3.77878158
2824,31,3,1,3,16.3,11.07,0.52508331,1.27932669
495,46,2,28,4,221.3,16.12,18.08649492,17.58706508
1976,41,1,3,16,30.9,5.93,0.96016188,0.87220812
3048,23,1,1,0,27.1,10.09,0.79023871,1.94415129
1610,28,1,12,8,24.8,7.24,0.66793344,1.12758656
4561,37,1,13,11,27.7,8.76,1.29333516,1.13318484
3540,54,2,5,13,25.7,3.23,0.25484377,0.57526623
2310,34,1,18,0,48.5,16.58,3.4095112,4.6317888
2373,38,1,5,1,22.4,1.26,0.01467648,0.26756352
2954,38,2,0,16,20.5,8.98,0.7934279,1.0474721
2476,31,1,15,12,32.9,20.64,3.55146288,3.23909712
417,34,1,16,13,45.2,18.32,2.64152416,5.63911584
4629,36,1,10,17,55.2,10.4,0.7922304,4.9485696
1554,38,2,18,11,72.5,3.07,0.17806,2.04769
3454,32,1,5,1,32.9,27.48,2.73035784,6.31056216
3735,42,2,21,20,83.2,12.12,6.43348992,3.65035008
89,26,4,1,1,26.0,10.5,0.33033,2.39967
829,42,3,7,4,46.1,18.6,0.42873,8.14587
1392,30,4,5,5,21.6,7.33,0.68556024,0.89771976
2284,37,2,12,8,50.2,1.13,0.35907558,0.20818442
2650,42,3,14,3,70.0,10.61,4.805269,2.621731
1938,38,1,3,6,32.7,19.44,2.31390432,4.04297568
4844,32,1,1,1,17.9,3.69,0.12483639,0.53567361
899,41,4,0,3,44.0,13.58,0.8305528,5.1446472
3991,45,3,20,12,127.4,9.0,1.800162,9.665838
2028,36,1,5,11,20.4,12.73,1.22834316,1.36857684
962,33,2,12,13,55.3,16.53,1.72766601,7.41342399
1361,38,2,15,3,42.9,5.82,0.16728426,2.32949574
728,40,1,14,16,37.7,11.99,0.71871657,3.80151343
1460,43,2,11,7,34.6,14.33,0.65943794,4.29874206
1302,37,1,19,6,50.3,0.72,0.1412424,0.2209176
3593,25,1,9,5,17.2,21.77,1.35548728,2.38895272
3378,27,3,5,7,46.2,7.04,1.41808128,1.83439872
3330,52,2,18,21,35.0,2.2,0.19712,0.57288
599,44,1,18,22,66.2,19.53,2.01690216,10.91195784
4823,44,1,19,13,89.3,17.11,2.15437143,13.12485857
3233,49,2,0,27,20.0,12.65,1.00694,1.52306
603,26,2,5,7,36.2,15.4,2.285668,3.289132
4193,32,1,9,1,30.8,3.14,0.145068,0.822052
4483,31,3,8,12,60.3,2.01,0.23513382,0.97689618
4496,20,1,1,0,22.3,14.71,0.18369848,3.09663152
1293,34,1,3,11,18.9,8.61,0.68183451,0.94545549
3965,47,1,19,6,78.6,8.59,1.36385148,5.38788852
2795,35,1,16,6,37.1,9.81,1.46308302,2.17642698
4071,31,1,6,8,20.3,1.33,0.09962631,0.17036369
4760,31,1,11,1,25.6,8.24,0.71299072,1.39644928
2939,26,1,4,0,23.0,7.44,0.487692,1.223508
2720,36,4,11,17,66.5,10.31,4.28509375,2.57105625
52,30,1,11,5,36.9,15.58,1.94316876,3.80585124
3501,40,2,19,12,73.9,9.23,3.23313978,3.58783022
558,49,2,11,1,58.2,6.2,0.5629104,3.0454896
2655,26,2,1,0,12.3,2.51,0.05989362,0.24883638
1456,33,2,14,11,40.1,7.62,0.53778912,2.51783088
746,33,2,6,2,26.5,4.24,0.0359552,1.0876448
1208,33,1,6,4,29.7,23.87,3.13351038,3.95587962
664,30,1,11,1,34.0,8.12,1.4135296,1.3472704
2505,33,3,4,14,54.4,6.18,0.3025728,3.0593472
1587,51,4,24,5,330.7,5.11,2.01095363,14.88781637
400,39,2,18,9,60.2,2.14,0.51273544,0.77554456
3660,26,2,3,2,41.8,3.76,0.6129552,0.9587248
3336,37,3,9,0,34.0,5.23,0.1902674,1.5879326
2015,36,2,16,17,80.5,16.38,1.4108913,11.7750087
2831,42,1,20,16,58.8,15.06,5.755932,3.099348
975,24,1,6,5,27.9,2.93,0.12016809,0.69730191
1434,29,2,5,4,27.0,5.6,0.814968,0.697032
4839,35,1,5,12,31.7,6.91,1.14780628,1.04266372
1279,29,3,7,7,55.3,24.2,3.2921196,10.0904804
2603,35,3,13,1,23.0,3.02,0.4118978,0.2827022
946,27,3,0,6,33.7,8.97,0.82827186,2.19461814
4327,30,1,1,7,20.1,0.12,0.00576468,0.01835532
768,31,2,1,7,15.6,3.07,0.1628328,0.3160872
3115,29,1,4,0,21.0,9.6,1.233792,0.782208
422,30,1,5,10,27.7,11.76,0.9283932,2.3291268
563,30,1,14,5,29.7,10.48,0.07470144,3.03785856
1158,37,3,7,9,50.5,5.56,1.1680448,1.6397552
4733,25,2,3,2,27.2,5.54,0.0678096,1.4390704
937,29,1,1,9,19.0,14.04,0.2027376,2.4648624
1606,53,2,16,34,138.9,1.0,0.459759,0.929241
1020,45,1,0,24,29.4,16.22,1.81686708,2.95181292
42,40,2,20,20,70.5,17.16,3.9438828,8.1539172
4713,26,2,3,6,33.4,5.33,0.25635168,1.52386832
3053,34,1,3,8,35.3,3.31,0.52228821,0.64614179
777,45,1,21,24,95.7,18.58,4.12520592,13.65585408
2397,30,1,13,0,35.2,4.98,0.53289984,1.22006016
4784,25,1,7,2,22.5,15.06,1.0334925,2.3550075
4023,32,2,11,0,40.9,2.04,0.4505544,0.3838056
201,52,1,35,15,182.7,9.21,9.40610853,7.42056147
3736,38,1,18,12,45.4,11.49,1.49712402,3.71933598
4736,34,1,6,3,24.0,11.62,0.6497904,2.1390096
33,45,1,3,15,23.9,2.18,0.130255,0.390765
717,41,3,13,15,57.1,15.89,3.74722747,5.32596253
4073,35,2,13,8,39.7,4.87,1.1020323,0.8313577
902,33,2,8,1,46.0,16.39,2.3296746,5.2097254
415,26,2,3,1,28.5,17.19,2.14092855,2.75822145
3583,27,1,8,7,30.4,6.16,0.3558016,1.5168384
2534,22,1,1,0,25.0,22.37,1.63301,3.95949
4731,27,1,9,0,23.7,8.19,1.0869768,0.8540532
218,42,1,19,12,35.2,6.86,0.34289024,2.07182976
2707,29,1,11,0,20.3,5.47,0.16767191,0.94273809
4917,41,3,12,7,35.2,17.5,3.0184,3.1416
2064,26,1,6,0,17.6,4.01,0.09457184,0.61118816
705,32,1,3,4,16.7,8.52,0.07541052,1.34742948
4420,31,1,7,1,32.7,6.85,0.32031285,1.91963715
2130,30,1,14,8,36.2,26.22,3.50241516,5.98922484
344,26,3,0,4,27.3,17.32,0.83691972,3.89144028
1073,28,2,6,6,19.2,27.76,0.44238336,4.88753664
3865,41,1,24,5,77.3,8.07,1.29128877,4.94682123
4101,29,1,11,7,44.0,12.83,3.1782476,2.4669524
3940,39,3,7,16,21.6,7.68,0.66521088,0.99366912
2029,35,2,15,15,69.7,13.49,2.74553876,6.65699124
4567,39,2,3,19,31.1,7.61,0.19880364,2.16790636
4257,26,1,2,6,21.6,3.31,0.1108188,0.6041412
2349,22,1,1,1,28.7,6.8,0.4703356,1.4812644
3260,33,2,7,0,36.6,3.78,0.242109,1.141371
3101,42,1,12,3,27.9,2.33,0.26977905,0.38029095
2982,54,1,36,8,209.7,0.89,0.39566196,1.47066804
4785,23,1,6,2,30.6,12.81,0.9995643,2.9202957
522,40,1,16,12,69.8,10.49,1.96230136,5.35971864
1140,39,1,1,17,23.9,7.36,0.46790464,1.29113536
2160,22,2,1,2,15.2,8.29,0.89843704,0.36164296
1226,38,1,7,15,30.6,20.35,1.1333322,5.0937678
67,31,1,11,11,25.0,7.44,0.87234,0.98766
2003,34,2,9,8,37.9,1.91,0.1809725,0.5429175
3721,39,1,9,16,97.9,15.93,7.62618483,7.96928517
1652,27,1,5,2,28.7,14.85,1.1422026,3.1197474
4856,31,1,10,10,24.2,3.32,0.36395832,0.43948168
3434,29,1,13,0,30.6,10.87,0.15965856,3.16656144
1251,35,2,3,5,22.8,9.2,0.9523104,1.1452896
2618,27,4,0,1,39.1,4.97,0.70735028,1.23591972
110,24,2,3,1,21.2,8.83,0.38000788,1.49195212
2086,32,1,6,5,19.0,5.31,0.2572695,0.7516305
860,38,2,15,3,68.4,12.15,3.5403156,4.7702844
452,50,1,15,18,46.3,5.81,0.45999513,2.23003487
2288,22,4,0,2,22.3,7.64,0.91319392,0.79052608
3729,37,2,13,2,58.0,14.55,4.337646,4.101354
2695,27,1,9,1,23.3,44.62,1.06043892,9.33602108
1117,39,1,3,11,20.1,3.53,0.11991057,0.58961943
4475,32,3,7,5,33.7,5.86,0.42656112,1.54825888
1823,50,4,21,4,72.0,11.18,4.9827024,3.0668976
2920,30,1,10,0,53.1,5.57,0.71871381,2.23895619
26,29,1,8,6,34.5,7.47,1.0514772,1.5256728
4007,33,1,1,4,27.4,6.36,0.9061728,0.8364672
43,45,1,23,5,71.4,4.26,0.80907624,2.23256376
4419,29,1,12,0,24.3,13.32,1.81905912,1.41770088
920,49,1,27,2,76.4,4.0,0.299488,2.756512
4042,45,1,23,3,69.1,8.14,1.406185,4.218555
1151,57,1,10,1,55.4,1.15,0.2796869,0.3574131
4254,43,3,1,14,33.2,6.93,0.8512812,1.4494788
1921,35,1,18,9,102.2,11.09,1.84743874,9.48654126
3171,25,1,6,4,14.6,1.85,0.1280274,0.1420726
1391,43,1,13,10,34.8,4.75,0.404985,1.248015
4462,28,1,5,2,17.1,6.05,0.2379465,0.7966035
819,24,1,1,2,15.0,14.49,0.2282175,1.9452825
3167,42,2,15,4,39.6,16.12,1.76185152,4.62166848
2772,24,2,1,2,22.0,6.08,0.4868864,0.8507136
2092,25,3,1,2,47.6,9.3,0.6905808,3.7362192
803,22,2,0,3,27.5,15.98,1.0590745,3.3354255
835,31,1,14,2,44.6,3.49,0.26772488,1.28881512
4127,39,2,8,19,29.6,8.78,0.68090656,1.91797344
3924,36,1,19,13,35.9,17.8,3.0481254,3.3420746
1235,29,1,1,1,28.4,4.64,0.3030848,1.0146752
3161,38,1,2,2,24.1,10.81,1.33647273,1.26873727
795,38,2,14,4,78.9,13.38,0.9501138,9.6067062
1593,46,1,27,24,176.3,4.55,1.70861145,6.31303855
2433,31,2,0,0,43.0,8.87,2.0557999,1.7583001
3346,38,3,6,13,81.0,10.32,1.9309752,6.4282248
2479,39,2,2,18,20.8,20.18,1.72934528,2.46809472
715,39,1,22,12,41.9,6.77,0.30068278,2.53594722
2055,26,1,3,7,24.0,18.56,2.3786496,2.0757504
4947,22,1,4,2,13.5,6.88,0.5628528,0.3659472
2972,39,2,6,15,21.2,18.46,2.18765768,1.72586232
542,29,1,3,7,21.9,7.29,0.16444053,1.43206947
1729,39,2,11,1,30.0,17.21,1.745094,3.417906
4379,35,2,8,4,43.9,18.92,3.66289308,4.64298692
1101,45,2,25,9,150.9,10.19,1.33777377,14.03893623
3647,42,2,14,0,132.0,7.33,4.4120736,5.2635264
3680,34,2,12,3,54.0,8.83,1.0108584,3.7573416
754,39,1,19,2,55.1,5.44,0.8842448,2.1131952
947,27,1,3,5,21.1,4.49,0.48601107,0.46137893
3947,37,1,12,16,106.6,9.76,2.81952736,7.58463264
1360,36,1,7,1,49.9,12.05,0.42691945,5.58603055
3980,40,3,0,15,60.3,13.45,3.07382265,5.03652735
1000,30,1,10,10,31.5,15.58,2.5225578,2.3851422
2118,35,2,8,15,56.3,0.98,0.0248283,0.5269117
2565,44,1,0,21,18.3,3.0,0.083997,0.465003
2253,47,1,5,21,22.2,6.92,0.69284424,0.84339576
4505,42,2,4,9,32.2,10.1,0.8585808,2.3936192
2682,37,1,13,3,49.2,11.8,2.699604,3.105996
2722,39,1,13,17,32.3,11.27,0.12740735,3.51280265
2301,41,2,14,15,67.3,3.66,1.354749,1.108431
1503,38,1,0,4,33.4,14.96,0.86441872,4.13222128
3828,30,1,10,5,37.5,4.47,0.21623625,1.46001375
2094,45,3,10,0,120.3,3.99,0.89759439,3.90237561
2662,26,1,8,4,38.7,7.28,0.50149008,2.31586992
3567,28,1,11,4,30.0,8.63,0.701619,1.887381
1628,57,1,11,20,39.8,9.48,1.56958464,2.20345536
1059,28,1,0,3,12.8,8.76,0.36777984,0.75350016
4651,46,1,22,14,91.7,14.51,2.96716441,10.33850559
1034,28,1,0,7,19.7,3.47,0.1435539,0.5400361
1853,43,2,15,0,94.2,9.32,1.87002072,6.90941928
3851,33,1,15,0,42.1,24.6,1.6466994,8.7099006
2030,29,4,1,8,77.7,13.01,6.12591462,3.98285538
713,31,1,1,8,22.1,14.78,1.11383558,2.15254442
4851,33,2,14,14,37.4,11.73,1.50474786,2.88227214
4498,26,1,1,4,19.2,10.1,0.33936,1.59984
1585,31,2,12,4,73.5,3.51,0.4334148,2.1464352
3259,37,1,17,14,31.8,7.15,0.5752461,1.6984539
1219,40,1,5,12,37.2,4.29,0.77878944,0.81709056
1547,32,1,8,7,34.7,7.66,1.66657854,0.99144146
186,31,1,4,10,24.4,6.9,0.9832224,0.7003776
4877,27,1,1,6,21.4,9.53,0.54452514,1.49489486
1087,33,1,14,14,36.5,10.3,1.007546,2.751954
2932,42,1,4,15,20.0,4.88,0.49776,0.47824
2375,48,1,25,22,126.6,10.22,5.00720724,7.93131276
3326,36,1,12,6,31.3,2.41,0.05732908,0.69700092
1669,47,1,20,21,44.7,17.88,3.46868424,4.52367576
1811,46,3,4,17,58.9,9.33,1.83545358,3.65991642
1894,39,2,19,19,87.0,4.3,1.402875,2.338125
4040,34,1,8,15,32.6,7.06,0.13118892,2.17037108
4614,46,2,27,2,108.5,24.68,9.0241186,17.7536814
364,43,2,19,9,74.7,8.24,2.923758,3.231522
3566,36,2,5,6,65.1,5.67,1.03721877,2.65395123
4163,35,1,11,12,27.5,6.8,0.61336,1.25664
4758,45,2,15,7,69.5,9.82,4.7979047,2.0269953
41,21,3,0,2,30.0,5.42,0.25203,1.37397
2893,32,1,0,3,26.1,13.65,0.8977878,2.6648622
379,54,1,16,16,42.6,14.85,2.087613,4.238487
3362,43,1,22,22,106.8,4.08,1.08936,3.26808
4658,35,2,15,7,48.4,4.9,1.0363892,1.3352108
4875,39,1,8,10,22.9,3.81,0.07154418,0.80094582
3441,23,4,0,1,24.9,12.83,1.53663627,1.65803373
3218,26,1,1,2,19.8,5.41,0.3963366,0.6748434
1298,32,2,10,13,34.0,5.06,0.2959088,1.4244912
3209,25,4,0,5,50.1,1.97,0.41354043,0.57342957
3763,39,2,1,19,29.8,16.07,2.82063854,1.96822146
4946,34,2,3,1,28.0,9.76,0.5684224,2.1643776
2244,26,1,1,5,22.3,6.75,0.63672075,0.86852925
1214,28,1,9,3,21.7,8.37,0.35599284,1.46029716
472,35,1,14,14,40.4,9.88,1.47287088,2.51864912
3849,28,2,6,2,43.1,9.37,0.76327083,3.27519917
796,39,1,7,4,53.0,15.72,2.8244124,5.5071876
3207,30,1,10,2,22.7,3.82,0.11099392,0.75614608
4086,32,2,7,12,16.6,7.57,0.64464606,0.61197394
2907,27,1,9,3,21.0,3.63,0.1280664,0.6342336
1895,28,2,3,6,35.7,8.47,1.36977687,1.65401313
256,33,1,6,3,24.4,8.11,0.5144984,1.4643416
2454,28,1,10,3,64.6,22.52,7.3466996,7.2012204
4048,49,1,27,21,105.0,13.44,0.451584,13.660416
708,26,1,1,7,23.5,8.6,0.238478,1.782522
3544,24,1,3,0,25.9,8.27,0.70469497,1.43723503
377,32,1,10,13,34.4,8.5,1.497088,1.426912
4200,34,4,8,15,19.4,13.89,0.64941306,2.04524694
791,24,2,2,0,26.0,10.09,0.7161882,1.9072118
4081,49,1,6,13,32.0,6.54,0.1841664,1.9086336
2762,31,2,8,0,27.0,7.83,0.3826521,1.7314479
4484,35,1,13,12,29.9,6.89,0.65511498,1.40499502
3935,39,2,14,11,96.9,7.67,1.85062527,5.58160473
2201,30,1,14,4,47.2,3.41,0.14807584,1.46144416
3610,49,1,8,17,28.9,11.8,0.562683,2.847517
4478,39,1,13,9,61.1,8.52,0.7548294,4.4508906
4139,21,1,5,1,26.2,4.27,0.63880054,0.47993946
3443,22,2,1,3,21.2,22.81,2.34048848,2.49523152
2401,29,1,5,3,20.0,5.52,0.177744,0.926256
3294,28,1,2,4,20.0,31.6,1.22608,5.09392
2226,47,1,29,7,143.8,11.09,1.9934275,13.9539925
776,38,2,19,0,62.7,9.62,1.95428376,4.07745624
3943,40,2,20,9,140.6,10.84,2.4385664,12.8024736
1134,35,2,6,3,20.6,19.15,1.4951171,2.4497829
564,35,3,7,5,63.8,1.68,0.46946592,0.60237408
4047,31,1,8,3,35.7,9.54,0.4768092,2.9289708
3165,32,1,6,1,34.1,13.04,1.00494064,3.44169936
674,50,4,22,9,139.9,7.29,3.80411883,6.39459117
410,36,1,12,6,47.3,5.78,2.46874782,0.26519218
3347,33,1,4,12,31.8,24.93,3.8053152,4.1224248
2305,33,1,5,12,36.0,2.18,0.3154896,0.4693104
3255,43,1,12,16,40.4,2.93,0.059186,1.124534
2983,39,1,13,17,34.4,6.61,1.08689552,1.18694448
4319,35,2,8,3,31.8,3.48,0.41609664,0.69054336
2803,53,1,24,5,89.4,14.46,2.80521108,10.12202892
2472,22,3,0,1,84.7,1.89,0.26093529,1.33989471
3936,23,3,0,3,22.5,29.9,1.3118625,5.4156375
3503,32,1,2,8,47.9,4.91,0.0940756,2.2578144
826,35,3,0,1,47.4,7.87,2.09647356,1.63390644
4425,25,1,1,2,15.1,18.98,1.10913426,1.75684574
2480,32,2,11,7,41.2,8.33,0.97467664,2.45728336
175,36,1,13,16,40.8,22.65,1.663416,7.577784
2748,33,1,5,13,22.8,19.73,0.35537676,4.14306324
74,53,1,28,32,83.4,7.2,1.8734976,4.1313024
3195,55,3,15,30,170.1,7.46,5.03771562,7.65174438
2830,40,4,1,7,25.7,14.07,1.73929119,1.87669881
2606,42,1,3,16,24.5,4.87,0.4987367,0.6944133
1869,32,1,8,5,27.5,17.98,0.4697275,4.4747725
620,21,2,0,1,16.6,0.79,0.04891522,0.08222478
934,26,1,7,4,37.6,2.98,0.532228,0.588252
2151,42,2,14,14,54.0,5.36,1.2793248,1.6150752
1488,37,1,9,7,26.8,1.37,0.08150952,0.28565048
2880,23,2,0,4,12.8,10.67,0.84267392,0.52308608
4962,49,1,13,29,47.9,10.21,1.78995594,3.10063406
4730,21,1,1,2,17.3,25.92,1.34973216,3.13442784
3309,31,2,0,12,20.4,4.93,0.5883462,0.4173738
545,53,2,12,27,38.5,2.05,0.06866475,0.72058525
1623,41,1,11,13,25.1,6.75,0.162648,1.531602
3520,31,1,11,12,31.3,18.51,4.07292189,1.72070811
2511,33,4,2,13,50.6,7.97,1.05256602,2.98025398
3290,39,1,20,14,72.1,19.1,8.6620219,5.1090781
4353,25,1,1,3,17.5,15.87,0.44158275,2.33566725
1420,36,1,17,15,72.9,2.21,0.78782301,0.82326699
3665,38,2,14,2,40.7,13.94,3.27365566,2.39992434
204,26,1,4,3,15.9,5.05,0.4207458,0.3822042
4846,29,2,3,9,26.1,6.15,0.5553819,1.0497681
4562,36,1,14,12,33.1,5.46,0.64880634,1.15845366
468,44,3,1,8,20.0,26.98,0.739252,4.656748
1275,45,2,4,3,22.1,17.56,0.62480236,3.25595764
4827,38,4,4,6,96.7,14.17,6.64565915,7.05673085
1719,50,1,21,7,74.4,5.64,1.06582464,3.13033536
2784,24,1,8,5,22.9,10.41,0.70324755,1.68064245
4346,46,1,15,17,45.1,3.67,0.30951679,1.34565321
